timestamp_s,engine_rpm,vehicle_speed_kph,throttle_position_pct,coolant_temperature_c,intake_air_temperature_c,engine_load_pct
123,3336,65.7,33.6,86.2,29.8,40.6
124,3465,67.3,37.1,86.5,29.5,42.8
125,3526,54.4,2.5,86.6,30.0,11.6
126,2755,40.6,3.2,86.6,30.1,16.1
127,2692,26.6,3.0,86.6,29.7,13.8
128,2367,13.5,2.8,86.8,30.5,13.5
129,777,0.0,1.9,86.7,32.0,12.0
130,782,0.0,1.8,87.0,31.8,11.5
131,800,0.0,1.8,87.0,31.7,14.1
132,789,0.0,2.0,87.0,32.0,12.5
133,782,0.0,1.7,87.1,31.5,11.8
134,789,0.0,1.1,87.1,31.6,12.0
135,767,0.0,1.7,87.3,31.8,12.2
136,772,0.0,1.3,87.4,31.8,11.1
137,793,0.0,1.6,87.5,31.5,14.4
138,794,0.0,1.1,87.2,31.8,12.1
139,819,0.0,1.7,87.5,31.7,13.4
140,817,0.0,1.2,87.3,31.4,12.3
141,815,0.0,1.2,87.6,31.5,11.4
142,782,0.0,1.9,87.5,31.8,11.7
143,1424,2.9,48.3,87.7,30.3,57.0
144,1802,5.9,48.5,88.0,30.2,55.6
145,2080,8.6,47.3,87.5,30.0,55.1
146,2440,11.6,51.3,87.8,30.0,59.6
147,2860,14.8,53.2,87.7,30.0,61.8
148,3081,17.6,48.2,87.8,29.5,51.9
149,2567,20.5,47.4,87.9,29.9,57.0
150,2741,22.8,44.9,88.0,30.0,51.3
151,2999,26.3,57.2,88.4,29.8,63.6
152,3078,29.0,46.2,88.1,29.9,55.7
153,3350,31.7,48.5,88.1,29.7,56.6
154,3533,34.4,46.1,88.3,29.3,54.5
155,3684,37.2,48.2,88.4,29.7,55.7
156,3099,40.3,51.7,88.1,29.4,58.7
157,3259,42.8,46.3,88.4,29.2,55.0
158,3471,45.4,51.0,88.4,29.4,56.2
159,3519,48.3,50.2,88.6,29.6,54.4
160,3724,51.0,48.9,88.6,29.1,56.0
161,3762,53.1,41.7,88.4,29.2,49.2
162,4002,56.2,55.4,88.9,28.8,61.5
163,4007,58.4,46.7,88.3,29.1,53.1
164,4132,60.8,43.0,88.7,28.8,50.5
165,4399,64.0,58.5,88.9,29.0,64.2
166,3375,65.6,35.8,88.6,29.0,43.5
167,3160,65.7,16.5,88.9,28.5,22.6
168,3392,67.2,34.7,88.7,28.8,39.7
169,3332,67.9,26.1,89.0,28.6,34.1
170,3535,68.5,27.6,89.0,28.7,30.3
171,3446,69.7,33.9,89.2,28.6,39.1
172,3492,70.7,30.8,89.3,28.7,37.1
173,3484,71.7,30.9,89.3,28.5,37.2
174,3477,72.1,24.8,89.2,28.8,30.7
175,3641,73.4,33.9,89.2,28.5,41.9
176,3675,75.0,36.6,89.3,28.7,44.3
177,3718,76.3,34.8,89.2,28.7,41.0
178,3697,76.7,26.2,89.1,28.4,31.0
179,3680,77.1,24.4,89.3,28.8,28.3
180,3785,78.3,29.6,89.5,28.9,34.9
181,3814,79.0,31.1,89.5,28.6,39.8
182,3746,79.7,28.3,89.3,28.4,32.9
183,3918,81.3,38.3,89.6,28.5,43.4
184,3879,81.6,16.5,89.7,28.3,23.7
185,3808,82.1,27.7,89.6,28.1,33.7
186,4074,83.8,39.7,89.7,28.3,46.2
187,3856,84.3,26.6,89.7,28.8,33.7
188,4095,85.4,36.2,89.6,27.8,41.5
189,3952,85.7,19.9,89.7,28.5,27.4
190,4052,86.5,29.6,89.7,28.4,37.5
191,4123,87.4,29.5,89.8,28.1,35.4
192,4024,88.1,27.6,89.9,28.2,32.7
193,4109,88.6,25.5,89.8,28.1,31.6
194,4218,89.9,33.6,90.0,28.5,37.4
195,4190,90.5,29.5,90.0,28.2,35.3
196,4302,92.0,36.3,89.9,28.5,41.6
197,4268,92.7,30.0,90.1,27.8,33.4
198,4332,93.8,31.8,90.2,28.0,37.6
199,4286,94.8,30.4,90.2,28.0,37.1
200,3489,95.7,28.6,90.1,28.0,32.8
201,3528,96.4,27.6,90.1,28.3,35.5
202,3513,97.3,30.0,90.0,28.3,34.8
203,3588,98.8,38.8,90.2,28.0,44.8
204,3507,99.6,29.1,90.3,28.0,35.3
205,3492,99.4,19.5,90.4,27.9,23.3
206,3458,99.1,20.3,90.5,27.7,26.3
207,3630,99.9,28.1,90.5,28.2,33.2
208,3571,100.3,25.3,90.5,27.8,31.5
209,3482,100.4,19.3,90.2,28.1,23.4
210,3493,100.4,20.4,90.5,27.7,24.3
211,3476,100.4,21.5,90.5,27.8,28.8
212,3520,100.4,20.7,90.7,27.9,27.9
213,3551,100.7,20.8,90.7,27.7,25.0
214,3463,100.6,22.6,90.7,27.9,26.4
215,3641,101.1,27.8,90.4,27.5,32.9
216,3570,102.1,32.9,90.7,27.9,41.4
217,3459,101.6,20.5,90.6,28.2,26.2
218,3480,101.7,20.9,90.4,27.7,25.7
219,3496,101.4,18.6,90.7,27.8,26.1
220,3498,101.2,19.3,90.8,27.9,24.8
221,3506,100.8,22.4,90.8,27.9,28.1
222,3567,100.6,18.7,90.9,27.7,23.1
223,3485,100.3,20.8,90.8,27.7,23.9
224,3648,101.3,31.4,90.9,28.1,38.0
225,3461,100.9,20.1,91.0,27.7,25.3
226,3559,101.2,19.7,90.8,27.7,26.6
227,3490,101.0,20.6,90.9,27.5,24.4
228,3498,100.9,17.0,91.0,27.4,23.1
229,3596,101.0,19.8,91.0,27.5,27.2
230,3415,100.8,20.5,90.9,27.6,25.6
231,3481,100.7,22.1,91.1,27.5,27.0
232,3521,101.1,25.4,91.2,27.7,31.4
233,3500,101.2,20.9,91.1,28.0,25.8
234,3517,101.0,16.4,91.3,27.6,21.7
235,3513,101.6,25.1,91.2,27.6,32.2
236,3687,102.0,26.4,91.0,27.8,33.4
237,3356,101.3,1.5,91.2,27.7,12.2
238,3526,101.3,19.5,91.1,27.5,25.7
239,3433,101.6,17.9,91.4,27.7,24.5
240,3498,101.6,19.2,91.3,27.7,23.9
241,3511,101.1,21.7,91.3,27.7,26.5
242,3566,101.6,25.3,91.3,27.6,30.7
243,3514,101.8,21.4,91.5,27.8,29.3
244,3533,101.4,20.9,91.2,27.3,28.1
245,3516,101.6,20.3,91.4,27.7,27.0
246,3499,101.3,19.4,91.3,28.0,26.6
247,3460,101.4,19.7,91.5,27.6,23.9
248,3561,102.2,27.3,91.5,27.6,32.1
249,3597,102.3,19.8,91.5,27.7,23.7
250,3548,102.6,27.9,91.4,27.7,29.6
251,3479,102.9,21.8,91.7,27.9,27.4
252,3560,103.0,21.3,91.5,27.7,27.7
253,3542,103.1,19.0,91.5,27.5,26.0
254,3419,102.6,2.6,91.7,27.6,14.3
255,3570,102.4,20.0,91.8,27.8,27.1
256,3532,102.6,22.9,91.7,27.4,29.6
257,3629,102.6,20.2,91.5,27.5,21.1
258,3606,103.1,26.4,91.5,27.5,32.2
259,3651,103.5,27.3,91.7,27.4,31.5
260,3638,103.4,19.2,91.8,27.7,23.9
261,3566,103.3,19.0,91.7,27.4,23.3
262,3598,103.1,21.3,91.7,27.6,25.0
263,3551,103.4,21.0,91.8,27.6,25.3
264,3586,103.5,19.2,92.1,27.5,24.3
265,3587,103.3,18.9,91.9,27.5,25.6
266,3571,103.3,20.6,91.9,27.4,27.5
267,3629,103.5,18.8,91.8,27.4,24.2
268,3501,103.2,18.7,91.9,27.5,22.5
269,3661,103.4,23.0,91.9,27.6,28.4
270,3396,102.3,2.8,91.8,27.5,14.8
271,3620,102.5,20.4,91.9,27.4,28.2
272,3564,102.6,19.7,92.1,27.7,26.9
273,3494,103.3,30.8,92.0,27.4,34.5
274,3547,103.6,20.7,91.8,27.3,26.8
275,3526,103.8,19.7,92.0,27.3,26.4
276,3581,103.9,20.5,92.0,27.2,25.3
277,3517,104.0,17.6,92.1,27.3,23.4
278,3529,104.4,19.6,91.9,27.3,26.3
279,3631,104.5,21.9,92.2,27.6,26.3
280,3680,104.6,19.1,92.2,27.4,24.0
281,3626,105.1,26.3,92.1,27.5,32.6
282,3643,104.9,19.2,92.2,27.3,24.9
283,3627,105.2,20.5,92.2,27.4,24.7
284,3651,105.0,19.1,92.2,27.5,22.7
285,3604,105.0,19.3,92.0,27.8,26.2
286,3638,105.3,17.3,92.0,27.6,25.2
287,3619,105.4,20.5,92.0,27.4,25.8
288,3648,105.3,23.4,92.2,27.3,27.6
289,3474,104.7,3.2,92.2,27.4,12.8
290,3631,105.1,26.7,92.0,27.2,30.9
291,3576,104.7,18.8,92.3,27.4,21.9
292,3593,103.8,2.5,92.3,27.2,12.3
293,3502,103.5,21.3,92.2,27.3,25.9
294,3634,103.2,18.9,92.3,27.6,26.6
295,3408,102.7,2.9,92.2,27.4,11.7
296,3556,102.3,21.2,92.3,27.4,25.4
297,3510,102.4,17.7,92.6,27.3,25.1
298,3384,101.7,2.6,92.1,27.6,14.9
299,3351,100.8,2.2,92.4,27.4,11.9
300,3349,99.8,1.3,92.2,27.8,13.1
301,3331,98.9,1.2,92.3,27.0,12.2
302,3499,98.4,21.8,92.3,27.5,26.6
303,3405,98.1,18.4,92.4,27.4,23.5
304,3515,98.1,17.7,92.5,27.6,23.7
305,3301,97.6,1.7,92.5,27.4,12.3
306,3471,97.5,19.4,92.5,27.4,24.8
307,3392,97.0,19.5,92.6,27.6,25.8
308,3375,97.1,18.9,92.5,27.9,22.9
309,3182,96.4,2.1,92.5,27.7,13.8
310,3444,95.9,19.7,92.5,27.4,26.5
311,3439,95.5,20.9,92.7,27.5,27.1
312,3385,95.2,22.5,92.4,27.6,28.2
313,4327,95.0,20.4,92.7,27.6,25.2
314,4079,94.0,2.8,92.4,27.5,12.1
315,4041,93.0,1.7,92.4,27.7,12.0
316,4067,92.3,1.9,92.7,27.6,10.6
317,4071,91.4,3.0,92.7,27.7,11.6
318,4044,90.9,0.6,92.5,27.5,12.0
319,4101,90.5,20.7,92.7,27.7,22.9
320,4057,89.7,3.5,92.6,27.7,14.8
321,3896,87.7,2.6,92.7,27.9,11.7
322,3758,85.7,1.5,92.8,27.8,11.4
323,3806,84.6,3.0,92.9,27.6,13.2
324,3627,82.9,2.7,92.7,27.8,12.4
325,3604,81.2,2.1,92.9,28.0,11.2
326,3653,78.9,3.9,92.8,27.7,12.3
327,3545,77.4,0.9,92.6,28.0,11.1
328,3437,75.1,3.3,92.8,27.9,14.0
329,3399,73.5,2.2,92.7,27.7,11.6
330,3404,71.7,1.5,92.6,28.0,10.3
331,3295,70.0,2.9,92.6,28.2,14.0
332,3259,68.6,1.7,92.7,27.5,12.9
333,3262,67.1,3.5,92.9,27.9,13.3
334,3064,65.6,2.2,92.8,27.9,12.7
335,3949,63.4,2.7,93.0,28.0,13.7
336,3845,61.0,3.7,92.8,28.1,14.2
337,3725,58.9,1.7,92.8,28.1,10.9
338,3542,57.2,2.0,92.7,28.4,11.3
339,3553,55.6,2.3,92.9,28.4,13.7
340,3407,53.5,1.8,92.7,28.5,12.8
341,3394,52.1,1.8,93.0,28.0,11.3
342,3200,50.6,2.8,92.8,28.3,11.9
343,3165,48.5,2.6,92.9,28.2,12.1
344,3114,47.1,2.5,93.0,28.5,12.5
345,3041,45.6,2.5,93.1,28.4,14.9
346,2759,41.1,2.3,92.8,28.4,11.4
347,3367,36.1,1.6,93.2,28.5,11.2
348,2942,31.3,3.1,93.1,28.6,13.5
349,2638,26.7,1.6,92.9,28.7,12.1
350,2430,22.5,2.6,93.1,28.7,12.6
351,2854,17.9,2.5,92.9,28.8,11.3
352,2372,13.5,0.9,93.0,29.0,12.1
353,1876,9.4,2.8,93.0,29.4,12.5
354,1323,5.1,2.2,93.3,29.1,14.7
355,811,0.0,2.1,93.0,30.3,11.5
356,785,0.0,1.6,93.0,30.3,9.8
357,783,0.0,1.6,93.0,30.3,10.8
358,802,0.0,2.5,93.0,30.4,15.0
359,769,0.0,1.9,93.1,30.4,11.4
360,783,0.0,1.1,93.1,30.3,12.1
361,789,0.0,1.9,93.2,30.4,10.6
362,802,0.0,2.2,93.3,30.6,13.4
363,788,0.0,1.5,92.9,30.6,12.2
364,804,0.0,1.8,93.1,30.6,11.9
365,764,0.0,2.1,93.0,30.6,13.7
366,797,0.0,2.2,93.0,30.5,11.9
367,766,0.0,1.8,93.0,30.2,13.5
368,818,0.0,1.4,93.3,30.6,14.0
369,768,0.0,1.9,93.1,30.6,13.2
370,769,0.0,1.7,93.1,30.2,14.4
371,782,0.0,1.4,93.1,30.5,12.4
372,776,0.0,2.3,93.1,30.3,12.8
373,1238,1.5,33.6,93.2,29.0,39.3
374,1376,3.2,34.5,93.2,29.5,42.8
375,1556,4.7,31.7,93.1,29.2,39.0
376,1824,6.5,36.9,93.0,29.3,43.3
377,2039,8.3,36.0,93.2,29.1,40.8
378,2140,9.6,31.0,93.3,29.2,38.0
379,2501,11.9,43.5,93.1,29.1,52.8
380,2730,14.4,44.4,93.4,28.7,51.3
381,2817,15.4,27.6,93.2,28.8,32.9
382,3015,17.2,38.1,93.1,28.7,42.6
383,2383,19.5,43.0,93.1,28.9,50.7
384,2389,20.9,29.8,93.0,28.7,39.1
385,2451,22.5,33.0,93.3,28.9,38.5
386,2729,24.3,36.2,93.3,28.5,43.0
387,2727,26.0,33.9,93.0,29.0,43.3
388,3029,28.1,39.3,93.3,28.5,45.7
389,3049,29.7,37.2,93.3,28.6,43.1
390,3213,31.2,35.9,93.1,28.8,43.5
391,3327,32.9,37.7,93.4,28.8,43.9
392,3472,34.2,33.7,93.3,28.6,43.2
393,3705,36.6,46.6,93.3,28.6,51.6
394,2903,38.5,37.8,93.4,28.3,43.6
395,2961,40.2,39.8,93.3,28.3,48.0
396,3123,42.2,38.0,93.3,28.4,43.1
397,3188,44.0,36.9,93.2,28.1,42.3
398,3313,45.6,32.6,93.4,28.2,40.1
399,3387,47.5,41.3,93.5,28.4,46.7
400,3397,49.2,36.4,93.4,28.1,41.4
401,3572,51.0,44.0,93.4,28.2,49.9
402,3606,52.7,36.1,93.3,28.3,41.5
403,3828,54.6,41.6,93.5,28.1,50.2
404,3737,56.2,34.1,93.4,28.0,42.7
405,4078,58.6,46.2,93.5,28.2,52.3
406,4013,59.6,28.3,93.5,28.2,35.7
407,3781,59.3,16.1,93.8,28.0,24.1
408,3755,59.6,13.5,93.8,28.4,21.2
409,3864,59.9,14.4,93.5,28.2,26.5
410,4008,60.6,29.4,93.6,28.0,35.9
411,3881,60.5,18.4,93.7,28.1,25.6
412,4079,61.3,27.7,93.9,28.2,33.2
413,4017,62.0,26.6,93.7,27.9,34.4
414,3910,62.2,14.1,93.9,28.1,22.0
415,4098,62.8,24.6,94.0,28.0,32.2
416,4170,63.9,31.1,93.9,28.0,38.0
417,4118,63.9,17.3,94.0,28.1,22.7
418,4119,64.5,23.9,94.3,27.8,29.6
419,4223,64.9,26.2,94.4,28.1,30.6
420,3188,65.2,16.4,94.6,28.3,25.0
421,3292,65.6,27.5,94.7,27.8,32.2
422,3277,65.9,15.5,94.8,27.8,20.8
423,3247,66.1,15.8,94.8,28.3,24.0
424,3344,67.1,31.9,95.1,27.6,38.3
425,3367,68.2,31.0,95.0,27.9,35.5
426,3369,69.0,29.1,95.6,27.9,36.9
427,3541,69.7,27.0,95.3,27.9,33.0
428,3379,69.7,18.1,95.6,27.8,20.4
429,3386,69.9,19.7,95.7,28.0,23.4
430,4550,70.6,86.0,96.6,27.9,74.3
431,4705,75.4,85.8,97.3,27.7,88.9
432,4860,80.3,87.3,97.4,27.5,89.1
433,5015,85.2,88.4,98.0,27.5,92.9
434,5170,90.5,91.4,98.1,27.4,94.1
435,5325,95.7,90.1,98.1,27.1,93.9
436,5480,101.3,91.8,98.7,27.2,97.7
437,5635,106.4,92.9,99.1,27.2,94.1
438,5790,112.3,91.1,99.4,27.1,98.0
439,3699,111.7,2.3,98.4,27.0,15.2
440,3810,111.9,22.6,98.6,27.0,26.4
441,3664,111.3,2.7,99.2,27.1,13.0
442,3601,110.5,3.1,99.3,26.8,11.2
443,3604,109.9,2.7,99.8,27.0,14.0
444,3625,109.1,2.9,100.2,26.9,12.4
445,3656,108.8,17.6,100.5,27.1,25.7
446,3771,108.6,20.2,100.8,26.5,23.3
447,3578,107.8,2.8,100.9,26.7,12.6
448,3686,107.8,20.0,101.3,27.1,25.4
449,3603,107.6,21.1,101.8,27.1,27.5
450,3676,107.1,20.7,102.0,27.2,25.5
451,3707,106.7,20.2,102.1,27.3,26.3
452,3519,105.6,2.0,102.7,27.1,10.6
453,3634,105.3,21.6,102.9,27.1,29.5
454,3701,105.6,22.1,103.2,27.1,28.3
455,3629,105.6,19.5,103.5,26.8,25.3
456,3622,105.1,22.6,104.1,27.2,26.4
457,3441,104.4,2.1,103.9,27.2,13.9
458,3498,103.9,2.5,104.1,27.5,12.2
459,3571,103.9,18.9,104.3,26.9,24.6
460,3616,103.5,20.8,104.4,27.1,27.7
461,3450,102.5,3.7,104.8,27.3,15.7
462,3522,101.8,2.7,105.0,27.3,11.0
463,3552,101.3,19.0,105.1,27.3,27.9
464,3473,101.0,17.9,105.3,27.4,23.9
465,3484,100.9,18.2,105.5,27.1,25.1
466,3353,99.9,1.8,105.2,27.3,14.2
467,3296,99.2,1.9,105.3,27.4,13.3
468,3467,98.8,20.0,105.3,27.3,26.1
469,3516,98.4,20.9,105.5,27.4,27.1
470,3358,97.9,3.4,105.6,27.2,12.9
471,3327,97.0,2.7,105.2,27.0,16.1
472,3417,96.8,18.8,105.1,27.2,26.0
473,3294,96.1,3.2,105.3,27.2,11.5
474,3197,95.2,1.9,105.2,27.5,12.1
475,4218,94.4,2.8,105.1,27.0,15.0
476,4314,94.2,20.4,104.7,27.4,24.2
477,4197,93.8,18.5,104.5,27.2,23.8
478,4149,93.1,1.5,104.2,27.2,9.3
479,3943,92.4,2.2,103.9,27.5,14.4
480,4057,91.6,1.5,103.7,27.9,10.4
481,4118,91.6,16.1,103.7,27.3,19.9
482,4167,91.6,16.9,103.3,27.6,24.2
483,4196,91.4,18.8,102.8,27.5,25.7
484,3960,90.6,1.8,102.5,27.5,10.5
485,4167,90.1,18.8,102.6,27.3,25.7
486,3923,87.7,2.6,102.1,27.4,13.8
487,3777,86.1,0.7,101.8,27.4,10.2
488,3817,84.3,2.5,101.5,27.7,11.2
489,3628,82.6,2.7,101.1,27.5,11.3
490,3728,81.7,2.8,100.8,27.7,12.1
491,3692,80.2,3.1,100.4,27.9,14.8
492,3588,78.4,2.5,100.0,27.7,15.8
493,3534,76.0,2.1,99.7,27.5,12.6
494,3366,74.0,1.5,99.5,27.8,11.4
495,3452,72.2,2.9,99.3,27.7,12.6
496,3271,70.2,2.5,98.8,27.5,14.7
497,3230,68.5,2.4,98.7,28.0,14.0
498,3202,66.6,2.9,98.6,27.8,15.9
499,4089,64.9,2.4,98.0,27.8,14.1
500,3979,63.5,2.1,97.6,27.9,10.3
501,3825,61.3,3.7,97.3,27.9,11.5
502,3837,59.8,2.6,97.2,28.3,12.4
503,3706,57.7,2.6,97.0,27.9,12.8
504,3611,56.5,3.3,97.0,27.9,11.7
505,3557,55.3,2.2,96.6,28.1,13.0
506,3545,55.3,15.7,96.3,28.3,22.5
507,3493,54.4,2.7,96.1,28.3,12.7
508,3410,53.6,2.1,96.0,27.9,13.3
509,3466,52.8,4.1,95.7,28.1,12.6
510,3377,52.1,2.1,95.7,28.4,14.5
511,3350,51.0,1.6,95.5,28.3,11.0
512,3312,50.3,2.0,95.1,28.0,12.1
513,3464,37.5,3.2,95.2,28.4,11.9
514,2550,25.3,3.0,95.1,28.8,12.2
515,2315,12.9,1.6,95.1,29.0,8.9
516,818,0.0,2.0,94.9,30.5,12.4
517,826,0.0,1.6,94.7,30.4,11.5
518,778,0.0,2.2,94.7,30.3,11.5
519,782,0.0,2.1,94.5,30.5,16.2
520,767,0.0,1.6,94.5,30.4,12.2
521,781,0.0,1.9,94.4,30.1,10.4
522,792,0.0,1.4,94.2,30.6,13.0
523,839,0.0,1.8,94.2,30.2,12.9
524,798,0.0,2.3,94.1,30.1,12.6
525,790,0.0,1.4,94.1,30.5,12.7
526,800,0.0,1.9,94.1,30.4,12.6
527,789,0.0,1.6,94.1,30.2,12.5
528,776,0.0,2.2,94.0,30.2,13.0
529,773,0.0,1.8,94.0,30.3,13.8
530,767,0.0,1.6,94.2,30.6,10.4
531,810,0.0,1.2,94.0,30.2,11.6
532,802,0.0,1.6,93.8,30.0,10.5
533,1150,1.7,34.2,93.8,29.2,38.6
534,1530,3.7,37.9,94.0,29.3,45.2
535,1627,5.3,31.7,93.8,28.8,40.5
536,1839,7.1,35.6,93.9,28.8,44.9
537,2068,8.6,32.2,93.8,29.0,37.8
538,2016,9.4,26.7,94.0,28.9,33.5
539,2235,10.7,31.8,93.9,29.0,39.0
540,2405,12.3,36.4,94.1,28.8,44.2
541,2657,13.8,33.7,94.0,28.8,39.6
542,2995,16.0,42.6,93.9,28.9,48.1
543,2322,18.5,43.5,93.8,28.6,49.9
544,2358,20.2,35.2,93.6,28.9,42.0
545,2547,21.9,33.7,93.7,28.8,40.8
546,2662,23.4,34.3,93.9,28.7,43.5
547,2769,25.1,34.8,93.6,28.7,40.9
548,2929,26.8,36.8,93.8,28.5,45.4
549,2992,28.4,33.8,93.8,28.8,41.4
550,3171,30.2,36.7,93.8,28.7,42.1
551,3242,31.6,35.5,93.7,28.2,42.9
552,3307,33.5,36.9,93.9,28.3,45.4
553,3456,34.7,30.4,93.6,28.3,36.7
554,3719,36.8,41.9,93.5,28.5,48.1
555,2983,38.7,39.7,93.8,28.3,47.3
556,2798,38.8,12.6,93.9,28.3,22.7
557,2805,38.9,14.8,93.9,28.5,22.7
